feature,importance
num__Tenure,0.28848397757200606
num__Complain,0.09466882131408144
cat__TenureGroup_新用户,0.0737253829449793
num__CashbackAmount,0.0667326944788969
cat__PreferedOrderCat_Mobile Phone,0.04681181600940457
num__DaySinceLastOrder,0.04441857464975847
num__NumberOfAddress,0.03491270920698328
num__SatisfactionScore,0.030367095905457518
cat__TenureGroup_13-24个月,0.029076815991468677
num__CityTier,0.02834264636199903
cat__TenureGroup_0-6个月,0.027171689686420697
cat__MaritalStatus_Single,0.02603245657564075
num__WarehouseToHome,0.02496898638190625
num__OrderAmountHikeFromlastYear,0.019282637207269873
cat__TenureGroup_24个月以上,0.018804443998268753
num__NumberOfDeviceRegistered,0.017524611882596377
cat__PreferedOrderCat_Laptop & Accessory,0.01677591932675495
cat__TenureGroup_7-12个月,0.01670388275041703
cat__MaritalStatus_Married,0.013287613075381476
num__OrderCount,0.012683991117828522
num__CouponUsed,0.010771799072091512
cat__PreferedOrderCat_Fashion,0.007334357100079169
cat__PreferredPaymentMode_Credit Card,0.00687457566754546
cat__Gender_Female,0.00587872703437166
cat__PreferredLoginDevice_Mobile Phone,0.005151826025100396
cat__Gender_Male,0.004983497354313708
cat__PreferredLoginDevice_Computer,0.004759568020841901
num__IsMobileLogin,0.004479310077504381
num__HourSpendOnApp,0.003878859722997982
cat__PreferredPaymentMode_E wallet,0.0036972471756035164
cat__PreferredPaymentMode_Debit Card,0.003662282670132462
cat__PreferedOrderCat_Grocery,0.0027192792251326966
cat__PreferredPaymentMode_Cash on Delivery,0.002116974096018478
cat__MaritalStatus_Divorced,0.0014988823502855683
cat__PreferedOrderCat_Others,0.0007413771827353893
cat__PreferredPaymentMode_UPI,0.0006746707877257367
